pdf_page,file,location_hint,original_text,corrected_text,term,action,confidence,notes
007,full,TAR in | 在国家卫生健康委员会的组织和领导下，《中国居民腾食指南 ( 2022 )) 5 版于 | 2022 年发布。 | 膳食,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
007,full,地食物生产供应情况及人群生活实践，提出的食物选择和身体活动的指导意见。腾食 指南是健康教育和公共政策的基础性文件，是国家实施健康中国行动和推动国民,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
007,full,的八条平衡膳食准则，推荐了解决方案和建议， 更加有实践指导意义。特定人群腾食指南是根据不同年龄阶段人群的生理特点及其腾 食营养素需要而制定的。特定人,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
007,full,群的膳食指南是在 一般人群膳食指南的基础上形成建议和指导。 与《中国居民腾食指南 ( 2016 ) 》相比，新版指南增加了“高龄老年人”指导准,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
007,full,膳食和合理运动，以保持良好健康生活状态，维持 | 适家体重，预防或碱少腾食相关慢性病的发生，从而提高我国居民整体健康素质。 | 《中国居民膳食指,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
010,full,因素，因此应当培养清淡饮食习惯，推荐成年人每 天摄入食盐不超过 5g9、训调油 25~30g，避免过多动物性油脂和饱和脂肪酸的摄 入。过多摄入添加糖,训调,烹调,训调,corrected,medium,批量规则修正；逐条保留上下文。
011,full,生的食物，不食用野生动物。 食物制备生熟分开，储存得当。多人同桌，应使用公策公义、采用分餐或份餐等 2 卫生措施。勤俭节约是中华民族的文化传统，人,公策,公筷,公策,corrected,high,页图核对：准则八语境均为公筷；公勺搭配由 body_text_corrections 精确修正。
011,full,需购买，注 国 意适宜份量和萤索搭配，并主动提出健康诉求。 | 公策分餐，杜绝浪费 | ee a ee | Pay attention,公策,公筷,公策,corrected,high,页图核对：准则八语境均为公筷；公勺搭配由 body_text_corrections 精确修正。
012,full,) 备孕和孕期妇女膳食指南180 SEAHAM ( 二 ) 哺乳期妇女腾食指南 188 1177 二、婴幼儿喂养指南 pp 196 (一) 0~,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
012,full,197 ( 二 ) 7~24 月龄婴幼儿喂养指南…… 227 三、儿童腾食指南 RN 246 (一 ) 学龄前儿童膳食指南 RN DAT ( 二),腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
012,full,enna26丰 (一) 一般老年人膳食指南 eet 265 五、素食人群腾食指南 cece 281 <!-- pdf-page:013 -->,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
012,full,| 准则六“规律进餐，足量饮水pp 116 第二部分 一、孕妇、乳母腾食指南 pp 179 (一) 备孕和孕期妇女膳食指南180 SEAHAM,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
015,full,"-% 规律进餐，足量饮水 za Sn Seek, ene = 公策分餐，杜绝浪费 ne <!-- pdf-page:016 -->",公策,公筷,公策,corrected,high,页图核对：准则八语境均为公筷；公勺搭配由 body_text_corrections 精确修正。
016,full,原理、我国居民膳食营 养素参考摄入量及科学研究成果而设计，指一段时间内，腾食组成中的食物种类和比 例可以最大限度地满足不同年龄、不同能量水平的健康人,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
016,full,式的建议，健 康 /合理的膳食指导，以促进全民健康和慢性疾病预防。 平衡腾食模式 (balanced diet model) 是根据营养科学原理、我,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
