pdf_page,section,source_image,vision_ocr_file,has_text,has_table,table_ids,review_status,action,confidence,notes
001,封面、版权和可视化图示,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_001.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_001.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
002,封面、版权和可视化图示,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_002.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_002.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
003,封面、版权和可视化图示,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_003.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_003.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
004,封面、版权和可视化图示,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_004.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_004.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
005,前言与编写说明,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_005.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_005.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
012,平衡膳食准则概览与目录,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_012.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_012.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
014,第一部分 一般人群膳食指南,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_014.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_014.tsv,True,False,,reviewed,no_readable_text_after_review,high,页图经 Vision OCR 复核后无稳定可读正文；保留页标，不补写。
015,第一部分 一般人群膳食指南,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_015.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_015.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
017,准则一 食物多样，合理搭配,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_017.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_017.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
019,准则一 食物多样，合理搭配,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_019.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_019.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
