table_id,title,pdf_page_start,pdf_page_end,status,verified
表 1-1,表 1-1 不同人群谷薯类食物建议摄入量,018,018,converted,true
表 1-4,表 1-4 不同食物搭配后蛋白质的生物价（BV）,020,020,converted,true
表 1-5,表 1-5 人体必需营养素和其他膳食成分,023,023,converted,true
表 1-6,表 1-6 中国成年人膳食宏量营养素供能比适宜范围,024,024,converted,true
表 1-7,表 1-7 不同种类食物中富含的营养素,024,024,converted,true
表 1-7,续表 1-7 不同种类食物中富含的营养素,025,025,merged_continuation,true
表 1-8,表 1-8 全国居民人均主要食品消费量,026,026,converted,true
表 1-9,表 1-9 我国平均每标准人日各类食物摄入量,026,026,converted,true
表 1-10,表 1-10 我国城乡居民膳食能量的食物来源比例,026,026,converted,true
表 1-11,表 1-11 我国居民每标准人日膳食三大营养素平均摄入量,028,028,converted,true
表 1-14,表 1-14。,042,042,not_a_table_after_review,true
表 1-14,表 1-14 推荐的成年人身体活动量,042,042,merged_continuation,true
表 1-16,表 1-16 成年人每天身体活动量相当于快走 6000 步的活动时间,046,046,converted,true
表 1-17,表 1-17 可选择的运动方案,048,048,converted,true
表 1-18,表 1-18 成年男性、女性的健康体脂范围,050,050,converted,true
表 1-19,表 1-19 体重与疾病关系的证据分析,054,054,converted,true
表 1-21,表 1-21 运动强度的判断,059,059,converted,true
表 1-22,表 1-22 不同人群蔬菜水果、全谷物、奶类、大豆、坚果类食物建议摄入量,062,062,converted,true
表 1-23,表 1-23 常见蔬菜种类,065,065,converted,true
表 1-24,表 1-24 日常全谷物营养成分与精制谷物的比较（每 100g 可食部）,078,078,converted,true
表 1-25,表 1-25 300ml 牛奶提供的营养价值,079,079,converted,true
表 1-26,"表 1-26，奶及奶制品、大豆及其制品、坚果与健康关系分析的证据见表 1-27,",081,081,not_a_table_after_review,true
表 1-26,表 1-26 蔬菜、水果与健康的关系,081,081,merged_continuation,true
表 1-26,续表 1-26 蔬菜、水果与健康的关系,082,082,merged_continuation,true
表 1-27,表 1-27 奶类及其制品、大豆及其制品和坚果与健康的关系,082,082,converted,true
表 1-28,表 1-28 各国膳食指南中成年人乳及乳制品的建议摄入量,088,088,converted,true
表 1-31,表 1-31 常见动物性食物蛋白质含量比较（每 100g 可食部）,096,096,converted,true
表 1-32,表 1-32 常见鱼中 EPA 和 DHA 含量,098,098,converted,true
表 1-33,表 1-33 鸡蛋白和鸡蛋黄营养素含量比较,099,099,converted,true
表 1-35,表 1-35 常见动物性食物胆固醇含量（每 100g 可食部）,105,105,converted,true
表 1-37,表 1-37 鲍鱼和其他水产类食物主要营养素含量比较（每 100g 可食部）,107,107,converted,true
表 1-38,表 1-38 不同人群食盐、烹调油、添加糖的推荐摄入量和酒精的控制摄入量,109,109,converted,true
表 1-39,表 1-39 食用油的营养型分类,112,112,converted,true
表 1-40,表 1-40 含有 15g 酒精的不同酒量,114,114,converted,true
表 1-41,表 1-41 我国居民烹调油、食盐和钠摄入量变化,116,116,converted,true
表 1-42,表 1-42 2015-2017 年我国成年人饮酒率,119,119,converted,true
表 1-43,表 1-43 2015-2017 年我国成年饮酒者每日酒精摄入水平分布,119,119,converted,true
表 1-44,表 1-44 盐、油、酒、糖与人体健康的证据,122,122,converted,true
表 1-45,表 1-45 常见包装食品反式脂肪酸含量,127,127,converted,true
表 1-46,表 1-46 常见高盐（钠）食品表（每 100g）,128,128,converted,true
表 1-47,表 1-47。,132,132,not_a_table_after_review,true
表 1-48,表 1-48 零食推荐食用种类,134,134,converted,true
表 1-49,表 1-49 饮水量与健康的证据体分析,146,146,converted,true
表 1-51,表 1-51 正常成年人每天水的出入平衡量,150,150,converted,true
表 1-52,表 1-52 茶的分类,150,150,converted,true
表 1-54,表 1-54 平衡膳食宝塔的各类食物量,153,153,converted,true
表 1-55,表 1-55 各类食物提供的主要营养素,155,155,converted,true
表 1-56,表 1-56 不同年龄轻体力劳动者的能量需要量（EER）,157,157,converted,true
表 1-54,表 1-54 根据能量需求确定食物用量。 上,157,157,not_a_table_after_review,true
表 1-54,表 1-54 建议食用量作为参考，表示的 a,157,157,not_a_table_after_review,true
表 1-57,表 1-57 2000kcal 能量的一日餐举例,159,159,converted,true
表 1-58,表 1-58 建议“多吃”和“少吃”的食物举例,161,161,converted,true
表 1-59,表 1-59 烹饪对蔬菜中维生素 C 含量的影响,166,166,converted,true
表 1-60,表 1-60 西餐中常见的牛肉成熟度和辨认方法,172,172,converted,true
表 2-1,表 2-1 妊娠期妇女体重增长范围和妊娠中晚期周增重推荐值,194,194,converted,true
表 2-2,表 2-2 孕中、晚期一日食谱举例,195,195,converted,true
表 2-2,续表 2-2 孕中、晚期一日食谱举例,196,196,merged_continuation,true
表 2-3,表 2-3 妇女备孕和孕期一日食物推荐量（低至中度身体活动水平）,197,197,converted,true
表 2-4,表 2-4 乳母一天食谱举例（能量 2250kcal/d）,202,202,converted,true
表 2-6,表 2-6 获得 1000mg 钙的食物组合,204,204,converted,true
表 2-7,表 2-7。,212,212,not_a_table_after_review,true
表 2-7,表 2-7 吸出母乳的保存条件和允许保存时间,212,212,merged_continuation,true
表 2-9,表 2.9。,260,260,not_a_table_after_review,true
表 2-8,表 2-8 学龄前儿童每日各类食物建议摄入量,261,261,converted,true
表 2-9,表 2-9 一日食谱举例,261,261,merged_continuation,true
表 2-10,表 2-10 推荐和限制的零食,263,263,converted,true
表 2-11,表 2-11。,272,272,not_a_table_after_review,true
表 2-11,表 2-11 学龄儿童一周身体活动示例,273,273,merged_continuation,true
表 2-12,表 2-12。应综合分析摄食情况、消化吸收能力、体格检查、人体测量、体成,287,287,not_a_table_after_review,true
表 2-12,表 2-12 微型营养评估简表（MNA-SF）,287,287,merged_continuation,true
表 2-13,表 2-13 Fried 衰弱评估方法,288,288,converted,true
表 2-14,表 2-14。 ae,289,289,not_a_table_after_review,true
表 2-14,表 2-14 饮水试验及结果判断,289,289,merged_continuation,true
表 2-15,表 2-15 高龄老年人一周活动举例,290,290,converted,true
表 2-16,表 2-16 全素和蛋奶素成年人的推荐膳食组成,294,294,converted,true
表 2-16,续表 2-16 全素和蛋奶素成年人的推荐膳食组成,295,295,merged_continuation,true
表 3-1,表3-1)。,308,308,not_a_table_after_review,true
表 3-1,表 3-1 食物与健康文献证据综合评价表,308,308,merged_continuation,true
表 3-3,表 3-3 常见膳食定性术语和概念描述,311,311,converted,true
表 3-4,表 3-4 常见食物定性和定量描述,312,312,converted,true
表 3-4,续表 3-4 常见食物定性和定量描述,313,313,merged_continuation,true
表 3-5,表3-5 提供了 2 岁以上所有健康人群平衡腾食的食物组成，按照表 3-5，计算理想,317,317,not_a_table_after_review,true
表 3-6,表 3-6 不同能量需要水平下的平衡膳食模式所提供的能量和营养素,317,317,converted,true
表 3-7,表 3-7 不同能量需要水平的平衡膳食模式所提供能量和来源构成比,318,318,converted,true
表 3-7,续表 一日三餐举例（2250kcal）,329,329,merged_continuation,true
表 3-7,续表 一日三餐举例（2400kcal）,331,331,merged_continuation,true
表 3-7,续表 一日三餐举例（2250kcal）,335,335,merged_continuation,true
表 3-7,续表 一日三餐举例（2300kcal）,337,337,merged_continuation,true
附表 1-1,附表 1-1 常见食物的标准份量（以可食部计）,348,348,converted,true
附表 1-3,附表 1-3 和附表 1-4. ;,349,349,not_a_table_after_review,true
附表 十2,附表 1-2 标准物品定义和用途,349,349,converted,true
附表 1-3,附表 1-3 参考手势的定义和用途,350,350,merged_continuation,true
附表 1-4,附表 1-4 食物标准份量示意图,351,351,converted,true
附表 1-4,续附表 1-4 食物标准份量示意图,352,352,merged_continuation,true
附表 1-4,续附表 1-4 食物标准份量示意图,353,353,merged_continuation,true
附表 2-1,附表 2-1 中国居民膳食能量需要量（EER）、宏量营养素可接受范围（AMDR）、蛋白质推荐摄入量（RNI）,354,354,converted,true
附表 5-1,附表 5-1 6-18 岁学龄儿童青少年生长迟缓的年龄别身高界值范围,361,361,converted,true
附表 5-2,附表 5-2 6-18 岁学龄儿童青少年营养状况的 BMI 界值范围,362,362,converted,true
附表 5-4,附表 5-4 用于筛查 7-18 岁学龄儿童青少年高腰围的界值范围,364,364,converted,true
