candidate_no,table_id,title_original,title_reviewed,pdf_page,status_reviewed,structure_reviewed,structure_confidence,content_confidence,page_image,review_notes
001,表 1-1,表 1-1 不同人群谷苗类食物建议摄入量,表 1-1 不同人群谷薯类食物建议摄入量,018,converted,true,high,high,qa/table_page_images/page_018.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
002,表 1-4,表 1-4 不同食物搭配后蛋白质的生物价 ( BV ),表 1-4 不同食物搭配后蛋白质的生物价（BV）,020,converted,true,high,high,qa/table_page_images/page_020.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
003,表 1-5,表 1-5 ”人体必需营养素和其他膳食成分,表 1-5 人体必需营养素和其他膳食成分,023,converted,true,high,high,qa/table_page_images/page_023.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
004,表 1-6,表 1-6 中国成年人膳食宏量营养素供能比适宜范围,表 1-6 中国成年人膳食宏量营养素供能比适宜范围,024,converted,true,high,high,qa/table_page_images/page_024.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
005,表 1-7,表 1-7 不同种类食物中富含的营养素,表 1-7 不同种类食物中富含的营养素,024,converted,true,high,high,qa/table_page_images/page_024.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
006,表 1-7,续表（接 表 1-7）,续表 1-7 不同种类食物中富含的营养素,025,merged_continuation,true,high,high,qa/table_page_images/page_025.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
007,表 1-8,表 1-8 全国居民人均主要食品消费量,表 1-8 全国居民人均主要食品消费量,026,converted,true,high,high,qa/table_page_images/page_026.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
008,表 1-9,表 1-9 ”我国平均每标准人日各类食物摄入量,表 1-9 我国平均每标准人日各类食物摄入量,026,converted,true,high,high,qa/table_page_images/page_026.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
009,表 1-10,表 1-10 ”我国城乡居民膳食能量的食物来源比例,表 1-10 我国城乡居民膳食能量的食物来源比例,026,converted,true,high,high,qa/table_page_images/page_026.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
010,表 1-11,表 1-11 ”我国居民每标准人日腾食三大营养素平均报入量,表 1-11 我国居民每标准人日膳食三大营养素平均摄入量,028,converted,true,high,high,qa/table_page_images/page_028.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
011,表 1-14,表 1-14。,表 1-14。,042,not_a_table_after_review,true,high,n/a,qa/table_page_images/page_042.png,正文引用“见表 1-14”，不是表题。
012,表 1-14,表 1-14 ”推荐的成年人身体活动量,表 1-14 推荐的成年人身体活动量,042,merged_continuation,true,high,high,qa/table_page_images/page_042.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
013,表 1-16,表 1-16。 +,表 1-16 成年人每天身体活动量相当于快走 6000 步的活动时间,046,converted,true,high,high,qa/table_page_images/page_046.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
014,表 1-17,表1-17 ”可选择的运动方案,表 1-17 可选择的运动方案,048,converted,true,medium,medium,qa/table_page_images/page_048.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
015,表 1-18,表 1-18 ”成年男性、女性的健康体脂范围,表 1-18 成年男性、女性的健康体脂范围,050,converted,true,medium,medium,qa/table_page_images/page_050.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
016,表 1-19,表 1-19 ”体重与疾病关系的证据分析,表 1-19 体重与疾病关系的证据分析,054,converted,true,medium,medium,qa/table_page_images/page_054.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
017,表 1-21,表 1-21 运动强度的判断,表 1-21 运动强度的判断,059,converted,true,high,high,qa/table_page_images/page_059.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
018,表 1-22,表 1-22，不同人群蔬菜水果、全谷物、奶类、大豆、坚果类食物建议摄入量,表 1-22 不同人群蔬菜水果、全谷物、奶类、大豆、坚果类食物建议摄入量,062,converted,true,medium,medium,qa/table_page_images/page_062.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
019,表 1-23,表 1-23 ”常见蔬菜种类,表 1-23 常见蔬菜种类,065,converted,true,medium,medium,qa/table_page_images/page_065.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
020,表 1-24,表 1-24 日常全谷物营养成分与精制谷物的比较 ( B 100g 可食部 ),表 1-24 日常全谷物营养成分与精制谷物的比较（每 100g 可食部）,078,converted,true,medium,medium,qa/table_page_images/page_078.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
021,表 1-25,表1-25 300ml 牛奶提供的营养价值,表 1-25 300ml 牛奶提供的营养价值,079,converted,true,medium,medium,qa/table_page_images/page_079.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
022,表 1-26,"表 1-26，奶及奶制品、大豆及其制品、坚果与健康关系分析的证据见表 1-27,","表 1-26，奶及奶制品、大豆及其制品、坚果与健康关系分析的证据见表 1-27,",081,not_a_table_after_review,true,high,n/a,qa/table_page_images/page_081.png,正文同时引用表 1-26 和表 1-27，不是独立表题。
023,表 1-26,表 1-26， 蔬菜、水果与健康的关系,表 1-26 蔬菜、水果与健康的关系,081,merged_continuation,true,medium,medium,qa/table_page_images/page_081.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
024,表 1-26,续表（接 表 1-26）,续表 1-26 蔬菜、水果与健康的关系,082,merged_continuation,true,medium,medium,qa/table_page_images/page_082.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
025,表 1-27,表 1-27，奶类及其制品、大豆及其制品和坚果与健康的关系,表 1-27 奶类及其制品、大豆及其制品和坚果与健康的关系,082,converted,true,medium,medium,qa/table_page_images/page_082.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
026,表 1-28,表 1-28 各国腾食指南中成年人乳及乳制品的建议摄入量,表 1-28 各国膳食指南中成年人乳及乳制品的建议摄入量,088,converted,true,medium,medium,qa/table_page_images/page_088.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
027,表 1-31,表 1-31 ”常见动物性食物蛋白质含量比较 ( 每 100g TA),表 1-31 常见动物性食物蛋白质含量比较（每 100g 可食部）,096,converted,true,medium,medium,qa/table_page_images/page_096.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
028,表 1-32,表 1-32 ”常见鱼中EPA 和 DHA 含量,表 1-32 常见鱼中 EPA 和 DHA 含量,098,converted,true,medium,medium,qa/table_page_images/page_098.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
029,表 1-33,表 1-33，鸡量白和鸡蛋黄营养素含量比较,表 1-33 鸡蛋白和鸡蛋黄营养素含量比较,099,converted,true,medium,medium,qa/table_page_images/page_099.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
030,表 1-35,表1-35 ”常见动物性食物胆固醇含量 ( 每 100g 可食部 ),表 1-35 常见动物性食物胆固醇含量（每 100g 可食部）,105,converted,true,medium,medium,qa/table_page_images/page_105.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
031,表 1-37,表 1-37 ”鲍鱼和其他水产类食物主要营养素含量比较 ( 每 100g 可食部 ) Gj,表 1-37 鲍鱼和其他水产类食物主要营养素含量比较（每 100g 可食部）,107,converted,true,medium,medium,qa/table_page_images/page_107.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
032,表 1-38,表 1-38 AAR RAR. SUE. MEERA SBN EBAS y,表 1-38 不同人群食盐、烹调油、添加糖的推荐摄入量和酒精的控制摄入量,109,converted,true,high,high,qa/table_page_images/page_109.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
033,表 1-39,表 1-39 ”食用油的营养型分类,表 1-39 食用油的营养型分类,112,converted,true,medium,medium,qa/table_page_images/page_112.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
034,表 1-40,表 1-40 含有 159 酒精的不同酒量,表 1-40 含有 15g 酒精的不同酒量,114,converted,true,high,high,qa/table_page_images/page_114.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
035,表 1-41,"表 1.41 PELABSHVEAG VSIA, HUSA",表 1-41 我国居民烹调油、食盐和钠摄入量变化,116,converted,true,medium,medium,qa/table_page_images/page_116.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
036,表 1-42,表 1-42 2015一2017 年我国成年人饮酒率,表 1-42 2015-2017 年我国成年人饮酒率,119,converted,true,medium,medium,qa/table_page_images/page_119.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
037,表 1-43,表 1-43 2015一2017 年我国成年饮酒者每日酒精摄入水平分布 = f,表 1-43 2015-2017 年我国成年饮酒者每日酒精摄入水平分布,119,converted,true,medium,medium,qa/table_page_images/page_119.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
038,表 1-44,表 1-44 ，盐、油、酒、糖与人体健康的证据,表 1-44 盐、油、酒、糖与人体健康的证据,122,converted,true,medium,medium,qa/table_page_images/page_122.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
039,表 1-45,表 1-45 ”常见包装食品反式脂肪酸含量 人 y,表 1-45 常见包装食品反式脂肪酸含量,127,converted,true,medium,medium,qa/table_page_images/page_127.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
040,表 1-46,表 1-46 常见高盐 (WAS) 食品表 ( 每 100g ),表 1-46 常见高盐（钠）食品表（每 100g）,128,converted,true,medium,medium,qa/table_page_images/page_128.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
041,表 1-47,表 1-47。,表 1-47。,132,not_a_table_after_review,true,high,n/a,qa/table_page_images/page_132.png,正文引用“表 1-47”，不是可见表格。
042,表 1-48,表 1-48 ”零食推荐食用种类,表 1-48 零食推荐食用种类,134,converted,true,medium,medium,qa/table_page_images/page_134.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
043,表 1-49,表 1-49 ”饮水量与健康的证据体分析,表 1-49 饮水量与健康的证据体分析,146,converted,true,medium,medium,qa/table_page_images/page_146.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
044,表 1-51,表 1-51 ”正常成年人每天水的出入平衡量,表 1-51 正常成年人每天水的出入平衡量,150,converted,true,high,high,qa/table_page_images/page_150.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
045,表 1-52,表 1-52，茶的分类,表 1-52 茶的分类,150,converted,true,medium,medium,qa/table_page_images/page_150.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
