pdf_page,file,location_hint,original_text,corrected_text,term,action,confidence,source_image,mode,notes
011,full,萤索搭配,萤索搭配,荤素搭配,荤素,corrected,high,qa/body_page_images/page_011.png,exact,按 220 DPI 页图与 Vision OCR 复核后修正正文 OCR 噪声。
011,full,训饪,训饪,烹饪,烹饪,corrected,high,qa/body_page_images/page_011.png,exact,按 220 DPI 页图与 Vision OCR 复核后修正正文 OCR 噪声。
011,full,公筷公义,公筷公义,公筷公勺,公筷公勺,corrected,high,qa/body_page_images/page_011.png,exact,按 220 DPI 页图与 Vision OCR 复核后修正正文 OCR 噪声。
110,full,训饪,训饪,烹饪,烹饪,corrected,high,qa/body_page_images/page_110.png,exact,按 220 DPI 页图与 Vision OCR 复核后修正正文 OCR 噪声。
158,full,训饪,训饪,烹饪,烹饪,corrected,high,qa/body_page_images/page_158.png,exact,按 220 DPI 页图与 Vision OCR 复核后修正正文 OCR 噪声。
168,full,准则八_公筷分餐，杜绝浪费,准则八_公筷分餐，杜绝浪费,准则八 公筷分餐，杜绝浪费,公筷分餐,corrected,high,qa/body_page_images/page_168.png,exact,按 220 DPI 页图与 Vision OCR 复核后修正正文 OCR 噪声。
168,full,讲究卫生，从分餐公筷做起,讲究卫生，从分餐公筷做起,讲究卫生，从分餐公筷做起,公筷,corrected,high,qa/body_page_images/page_168.png,exact,按 220 DPI 页图与 Vision OCR 复核后修正正文 OCR 噪声。
172,full,训饪,训饪,烹饪,烹饪,corrected,high,qa/body_page_images/page_172.png,exact,按 220 DPI 页图与 Vision OCR 复核后修正正文 OCR 噪声。
175,full,公筷公与,公筷公与,公筷公勺,公筷公勺,corrected,high,qa/body_page_images/page_175.png,exact,按 220 DPI 页图与 Vision OCR 复核后修正正文 OCR 噪声。
175,full,策子,策子,筷子,筷子,corrected,high,qa/body_page_images/page_175.png,exact,按 220 DPI 页图与 Vision OCR 复核后修正正文 OCR 噪声。
